   displacement,          force
     -0.0152961,  -1262.1476849
     -0.0305922,  -2524.2953699
     -0.0458883,  -3786.4430548
     -0.0611844,  -5048.5891023
     -0.0764805,  -6310.5029033
     -0.0917766,  -7571.8427135
     -0.1070727,  -8831.2922647
     -0.1223688, -10089.7791477
     -0.1376649, -11342.8658215
     -0.1529610, -12585.7345980
     -0.1682571, -13811.8586810
     -0.1835532, -15005.5626854
     -0.1988493, -16130.8140148
     -0.2141454, -17137.7938088
     -0.2294415, -17991.8251909
     -0.2447376, -18704.9431417
     -0.2600337, -19322.3175079
     -0.2753298, -19855.2311323
     -0.2906259, -20344.0040007
     -0.3059220, -20773.0475242
     -0.3212181, -21178.3008275
     -0.3365142, -21533.0185955
     -0.3518103, -21872.9303171
     -0.3671064, -22165.3753874
     -0.3824025, -22448.0950004
     -0.3976986, -22683.2619452
     -0.4129947, -22912.5869786
     -0.4282908, -23103.8746760
     -0.4435869, -23277.9248931
     -0.4588830, -23411.7738226
     -0.4741791, -23536.5228403
     -0.4894752, -23619.6590121
     -0.5047713, -23694.6047371
     -0.5200674, -23726.1982302
     -0.5353635, -23748.4802777
     -0.5506596, -23724.4941265
     -0.5659557, -23676.4605145
     -0.5812518, -23565.0339787
     -0.5965479, -23404.0801281
     -0.6118440, -23178.5218156
