   displacement,          force
     -0.0152961,   -558.9159024
     -0.0305922,  -1117.8318049
     -0.0458883,  -1676.7477073
     -0.0611844,  -2235.6636098
     -0.0764805,  -2794.5723659
     -0.0917766,  -3353.3647890
     -0.1070727,  -3912.0606968
     -0.1223688,  -4469.1821565
     -0.1376649,  -5023.6030530
     -0.1529610,  -5572.3608481
     -0.1682571,  -6107.7974477
     -0.1835532,  -6617.0924199
     -0.1988493,  -7091.4910442
     -0.2141454,  -7519.9468964
     -0.2294415,  -7894.6338072
     -0.2447376,  -8213.8135290
     -0.2600337,  -8495.1900828
     -0.2753298,  -8737.0251352
     -0.2906259,  -8953.0137254
     -0.3059220,  -9139.3363066
     -0.3212181,  -9308.7740613
     -0.3365142,  -9452.5081474
     -0.3518103,  -9576.3788118
     -0.3671064,  -9678.6217578
     -0.3824025,  -9757.5165689
     -0.3976986,  -9805.5143181
     -0.4129947,  -9827.5452933
     -0.4282908,  -9791.0739370
     -0.4435869,  -9690.9007699
     -0.4588830,  -9503.1755102
