Displacement (mm),Force (N),Time (s)
0.0014164628323024425,-6.465150776044226,0.022460938
0.0014198057993412734,-6.407714105453013,0.030273438
0.0014231582515599102,-6.350355042518982,0.038085938
0.0014265192644450128,-6.293293778518901,0.045898438
0.0014298879149164166,-6.2367314229564705,0.053710938
0.0014332633444096039,-6.180844521001739,0.061523438
0.0014366447273079267,-6.125783216005446,0.069335938
0.00144003120129967,-6.071677055396539,0.077148438
0.0014434218267505936,-6.018645771265018,0.084960938
0.0014468155781846449,-5.966808460582594,0.092773438
0.0014502113635684374,-5.9162860278894165,0.10058594
0.0014536080965865613,-5.867197116827724,0.10839844
0.0014570048148406676,-5.8196533839281965,0.11621094
0.0014604007824656011,-5.773756785813479,0.12402344
0.0014637955231050844,-5.7295963218294865,0.13183594
0.001467188762570936,-5.687243175756311,0.13964844
0.001470580305783129,-5.646746104364834,0.14746094
0.0014739699169697314,-5.608129676725934,0.15527344
0.0014773572670320498,-5.571395743392026,0.16308594
0.0014807419703661525,-5.536526502207307,0.17089844
0.0014841236666676709,-5.503489731815236,0.17871094
0.001487502075156705,-5.47224614156622,0.18652344
0.0014908770073486306,-5.442755792854368,0.19433594
0.0014942483667644058,-5.414981221097235,0.20214844
0.0014976161364972393,-5.388886246769653,0.20996094
0.0015009803298519338,-5.364432372377204,0.21777344
0.001504340917089687,-5.341577231835777,0.22558594
0.0015076977854358397,-5.3202759917376286,0.23339844
0.0015110507503898747,-5.300482100062887,0.24121094
0.0015143995864606572,-5.282145421911252,0.24902344
0.0015177440668846358,-5.2652100433378655,0.25683594
0.0015210840194954261,-5.249613679131303,0.26464844
0.0015244193588896152,-5.235286788745616,0.27246094
0.001527750034520787,-5.222150735743138,0.28027344
0.0015310759192705863,-5.210120328247012,0.28808594
0.001534396735103272,-5.199111016199061,0.29589844
0.0015377120806211414,-5.189042222617271,0.30371094
0.0015410215420539038,-5.179835977616026,0.31152344
0.0015443247765199706,-5.171415850935276,0.31933594
0.00154762147140808,-5.163707106375984,0.32714844
0.0015509112245119016,-5.156638360291144,0.33496094
0.0015541934687413207,-5.15014237502435,0.34277344
0.0015574675130773587,-5.144153822007063,0.35058594
0.0015607326472091517,-5.138607913421448,0.35839844
0.0015639881969589813,-5.133442549796586,0.36621094
0.0015672334923451155,-5.128599423792423,0.37402344
0.0015704677911791856,-5.124020337195293,0.38183594
0.001573690224695401,-5.119643918531805,0.38964844
0.001576899807017663,-5.115406655714481,0.39746094
0.001580095486616844,-5.111243346115899,0.40527344
0.0015832761921797105,-5.107084873305167,0.41308594
0.001586440850132737,-5.102858397013114,0.42089844
0.0015895883824592761,-5.098491183503101,0.42871094
0.0015927177179890495,-5.09391450347607,0.43652344
0.0015958278373906047,-5.089068735008762,0.44433594
0.0015989178114800028,-5.0839101996994165,0.45214844
0.0016019867642808308,-5.078414349745349,0.45996094
0.0016050337698526372,-5.072573736412698,0.46777344
0.0016080577797697498,-5.0663943709613015,0.47558594
0.0016110576432290255,-5.059892912521207,0.48339844
0.0016140321878890308,-5.053095166175538,0.49121094
0.0016169802992573616,-5.046034639257727,0.49902344
0.0016199009655274736,-5.038748332557231,0.50683594
0.0016227932825901197,-5.031270045914607,0.51464844
0.0016256564271234942,-5.023627920971181,0.52246094
0.0016284896217968606,-5.0158507809931985,0.53027344
0.001631292116071703,-5.007977483765399,0.53808594
0.001634063184203851,-5.000062386642697,0.54589844
0.0016368021382272941,-4.9921784982506585,0.55371094
0.0016395083631251608,-4.984419853031025,0.56152344
0.001642181363382469,-4.976898754274523,0.56933594
0.0016448207758775425,-4.969737992999745,0.57714844
0.0016474263181664689,-4.963062311150979,0.58496094
0.0016499977037540612,-4.956988790247442,0.59277344
0.0016525345874633499,-4.951618240490613,0.60058594
0.0016550365801066794,-4.947032460381901,0.60839844
0.0016575033209306738,-4.943296210168988,0.61621094
0.001659934547992256,-4.940461009043349,0.62402344
0.0016623301076907002,-4.938568476340033,0.63183594
0.0016646898981467716,-4.93765101834971,0.63964844
0.001667013778198946,-4.937731690456016,0.64746094
0.0016693014682458587,-4.938825705777562,0.65527344
0.0016715524747592213,-4.940942529415907,0.66308594
0.001673766086940777,-4.944087726487895,0.67089844
0.0016759414475088091,-4.948264960072395,0.67871094
0.0016780776244981878,-4.9534759819418515,0.68652344
0.0016801736330785775,-4.959717124166028,0.69433594
0.0016822284391852398,-4.966975748095006,0.70214844
0.0016842409848795313,-4.975230405532865,0.70996094
0.0016862102297714786,-4.984453432215352,0.71777344
0.0016881351868386972,-4.9946108482792075,0.72558594
0.0016900149405342472,-5.0056575043303955,0.73339844
0.0016918486379809375,-5.017532920683574,0.74121094
0.0016936354361000228,-5.030163372992071,0.74902344
0.0016953744118634302,-5.043467081156033,0.75683594
0.0016970645011953724,-5.057357352610896,0.76464844
0.0016987045102767207,-5.071744693826757,0.77246094
0.0017002931368462046,-5.086539644459213,0.78027344
0.0017018289343814273,-5.101656335763027,0.78808594
0.0017033102625357607,-5.117016993703752,0.79589844
0.0017047352966428598,-5.132555136317393,0.80371094
0.0017061020969528348,-5.148215900496277,0.81152344
0.0017074086909191417,-5.163956248481079,0.81933594
0.0017086531192303629,-5.179747339506174,0.82714844
0.0017098334247438315,-5.1955780416576065,0.83496094
0.0017109476186180478,-5.211455970103753,0.84277344
0.0017119936605279643,-5.2274046579588225,0.85058594
0.0017129694184281272,-5.243460530088476,0.85839844
0.0017138725765343792,-5.25967031165957,0.86621094
0.0017147005837619223,-5.276086740923414,0.87402344
0.0017154507470773096,-5.292764523510672,0.88183594
0.0017161204036763,-5.309756414585182,0.88964844
0.0017167070270402319,-5.327107359187207,0.89746094
0.0017172082172520575,-5.344850469432239,0.90527344
0.001717621618532309,-5.363009486691942,0.91308594
0.0017179448399098536,-5.381605929130747,0.92089844
0.0017181754277436805,-5.400663755128163,0.92871094
0.0017183108758092218,-5.4202078933783335,0.93652344
0.0017183486486628593,-5.440261156554326,0.94433594
0.001718286221363861,-5.460842702445444,0.95214844
0.00171812111894622,-5.481964511545508,0.95996094
0.0017178508969644358,-5.503624469289284,0.96777344
0.001717473046193702,-5.525802276069146,0.97558594
0.0017169848863768206,-5.548462519786738,0.98339844
0.0017163835037863678,-5.5715599256097255,0.99121094
0.0017156657361727847,-5.59503980515571,0.99902344
0.0017148282036705345,-5.618834210140031,1.0068359
0.0017138673941879475,-5.642860076223011,1.0146484
0.0017127797811511115,-5.6670225960969045,1.0224609
0.0017115618947125986,-5.691220900386187,1.0302734
0.0017102102959784525,-5.715350478824441,1.0380859
0.0017087215054108953,-5.739300095004883,1.0458984
0.0017070919554029087,-5.762947462204786,1.0537109
0.0017053179760393754,-5.786160960051553,1.0615234
0.0017033958017491457,-5.808808133626191,1.0693359
0.001701321612476897,-5.830761529000356,1.0771484
