Displacement (mm),Force (N),Time (s)
0.001699303879061267,-6.105077765334982,0.021484375
0.0017052763182347575,-6.1312946751248525,0.029296875
0.0017112695852729567,-6.157967155769353,0.037109375
0.0017172787361690283,-6.185018210577909,0.044921875
0.001723298802307459,-6.212358110367702,0.052734375
0.001729324904519044,-6.2398851504426665,0.060546875
0.0017353523402871777,-6.267494400709339,0.068359375
0.0017413765712926395,-6.295091593149584,0.076171875
0.0017473931687020333,-6.322602941404491,0.083984375
0.0017533978078346612,-6.3499726856773755,0.091796875
0.0017593863211030035,-6.377155016318807,0.099609375
0.0017653547290340543,-6.404113089010161,0.10742188
0.001771299200417302,-6.4308243368611135,0.11523438
0.0017772159985318327,-6.457282532142423,0.12304688
0.001783101478159704,-6.483493971524145,0.13085938
0.0017889521090102146,-6.509469689009438,0.13867188
0.0017947644888444336,-6.535215952854832,0.14648438
0.0018005353967834447,-6.560729638056231,0.15429688
0.0018062619100784553,-6.586002940438429,0.16210938
0.0018119414865834704,-6.611031996860669,0.16992188
0.0018175719491611074,-6.635821123479337,0.17773438
0.0018231514126177645,-6.6603824555381115,0.18554688
0.0018286782019091904,-6.684735084334269,0.19335938
0.0018341507988657655,-6.708903816043496,0.20117188
0.0018395678482697546,-6.732918094544419,0.20898438
0.0018449281864448717,-6.756812541638809,0.21679688
0.001850230791985746,-6.780625565654043,0.22460938
0.0018554746446025315,-6.804393203505939,0.23242188
0.0018606586096165919,-6.8281425627357315,0.24023438
0.0018657814634203138,-6.851889847673123,0.24804688
0.0018708420773633641,-6.875642103551981,0.25585938
0.0018758396083257312,-6.8993987770600285,0.26367188
0.001880773494847377,-6.92315083792306,0.27148438
0.0018856432876170046,-6.946879966635394,0.27929688
0.001890448494551216,-6.970562957330408,0.28710938
0.0018951885095597823,-6.994181373101739,0.29492188
0.0018998625865149859,-7.017730146537199,0.30273438
0.0019044698323376179,-7.041220696204662,0.31054688
0.0019090092343527233,-7.064680479882076,0.31835938
0.0019134797431337037,-7.088152049396045,0.32617188
0.001917880396657135,-7.111691694380611,0.33398438
0.001922210424974088,-7.135366469374809,0.34179688
0.0019264692821920283,-7.15924856972932,0.34960938
0.001930656628485166,-7.183407924356681,0.35742188
0.0019347723253282539,-7.20790634762668,0.36523438
0.0019388164394949189,-7.232794138735018,0.37304688
0.0019427891996338037,-7.258106740095119,0.38085938
0.0019466909267461937,-7.283863266114346,0.38867188
0.0019505220265716287,-7.310070785228308,0.39648438
0.001954283062157858,-7.336729416377303,0.40429688
0.001957974832956911,-7.363830986746976,0.41210938
0.001961598371302139,-7.391354907248006,0.41992188
0.001965154828022847,-7.419266807049371,0.42773438
0.001968645340994118,-7.4475181639257855,0.43554688
0.0019720710042904145,-7.47604717926593,0.44335938
0.0019754329247848286,-7.504783050711585,0.45117188
0.001978732284383557,-7.533648748777534,0.45898438
0.001981970374199338,-7.56255728221144,0.46679688
0.0019851486018377176,-7.591405223515564,0.47460938
0.001988268469618411,-7.62007020415078,0.48242188
0.0019913315215320405,-7.648414704093586,0.49023438
0.0019943392711092153,-7.676293159310593,0.49804688
0.00199729313642642,-7.703557796238602,0.50585938
0.002000194412157143,-7.7300627553502,0.51367188
0.0020030442814289342,-7.755668592572383,0.52148438
0.0020058438311720732,-7.780245572376422,0.52929688
0.002008594043205853,-7.8036711365085925,0.53710938
0.0020112957706554056,-7.8258232192954535,0.54492188
0.002013949728669956,-7.846578801085285,0.55273438
0.0020165565232755952,-7.8658194988537415,0.56054688
0.0020191167244555434,-7.883437467688284,0.56835938
0.002021630969889236,-7.899338103180078,0.57617188
0.002024100052741546,-7.913439386186914,0.58398438
0.0020265249403205476,-7.925671151791551,0.59179688
0.002028906712788979,-7.935975889608001,0.59960938
0.002031246442916096,-7.944309118018496,0.60742188
0.0020335450582235127,-7.950640997095418,0.61523438
0.0020358032392986847,-7.954958372826409,0.62304688
0.00203802138998968,-7.957263451164759,0.63085938
0.002040199681225741,-7.957570902077506,0.63867188
0.0020423381265489973,-7.955906165643115,0.64648438
0.0020444366288503144,-7.952301224952064,0.65429688
0.002046494965561756,-7.946784965279013,0.66210938
0.0020485127284055127,-7.93937527243366,0.66992188
0.002050489275355634,-7.9300784249078955,0.67773438
0.0020524237289141897,-7.918891474057018,0.68554688
0.002054314988251118,-7.905805579449322,0.69335938
0.0020561617200373947,-7.890814035257651,0.70117188
0.002057962352800909,-7.873922859242559,0.70898438
0.0020597151086832314,-7.855155125061153,0.71679688
0.002061418038795015,-7.834549398507841,0.72460938
0.002063069024893168,-7.812161332507992,0.73242188
0.0020646657835907494,-7.788066844530808,0.74023438
0.0020662058982935435,-7.762357790829316,0.74804688
0.0020676868407848398,-7.735131379334037,0.75585938
0.0020691059621760818,-7.706482721828017,0.76367188
0.002070460489591289,-7.676504678998104,0.77148438
0.0020717475549085498,-7.645290488885612,0.77929688
0.0020729642229290494,-7.612934672970412,0.78710938
0.0020741074837670637,-7.57953402890794,0.79492188
0.002075174225306094,-7.545190571453103,0.80273438
0.002076161217162978,-7.51001427610167,0.81054688
0.002077065123331988,-7.47412303459348,0.81835938
0.0020778825509852224,-7.437638743557946,0.82617188
0.0020786101139197524,-7.400682559529674,0.83398438
0.0020792444706949436,-7.3633730429570186,0.84179688
0.0020797823268203924,-7.325826745405824,0.84960938
0.0020802204150200394,-7.288161446854584,0.85742188
0.002080555466206582,-7.250500518381411,0.86523438
0.0020807841782204406,-7.2129716638468215,0.87304688
0.0020809031799785796,-7.1756981404522895,0.88085938
0.0020809089990872433,-7.138789526510194,0.88867188
0.0020807980691428473,-7.10233910650595,0.89648438
0.002080566785155953,-7.06642801109049,0.90429688
0.0020802115451470284,-7.031131602620368,0.91210938
0.0020797287379172072,-6.996524223912962,0.91992188
0.002079114732927517,-6.962681737134355,0.92773438
0.002078365932691237,-6.92968412853774,0.93554688
0.002077478866450416,-6.897618747395394,0.94335938
0.0020764502566335335,-6.866582225226226,0.95117188
0.0020752770095878157,-6.836682544449785,0.95898438
0.002073956150818692,-6.808042142317444,0.96679688
0.00207248477266937,-6.780796580974115,0.97460938
0.002070860010735721,-6.755087780614044,0.98242188
0.0020690790028881313,-6.731057321986787,0.99023438
0.0020671388427537384,-6.708842491454338,0.99804688
0.0020650366100395216,-6.688576359617653,1.0058594
0.002062769487901378,-6.670390416974624,1.0136719
0.0020603348707769016,-6.654414991574765,1.0214844
0.0020577303497913923,-6.6407771604616554,1.0292969
0.0020549535364080655,-6.629598406912936,1.0371094
0.002052001851502394,-6.620993671560175,1.0449219
0.0020488724557727977,-6.61507304099815,1.0527344
0.0020455623138132596,-6.611942299549694,1.0605469
0.002042068282652694,-6.611698688745677,1.0683594
0.0020383871916918686,-6.6144256008639974,1.0761719
0.002034515909743014,-6.620188794042871,1.0839844
0.002030451347711302,-6.629032704435148,1.0917969
0.002026190375970321,-6.640979334398945,1.0996094
