Displacement (mm),Force (N),Time (s)
0.006396198342296261,-7.387893994746468,0.021484375
0.006406853803718222,-7.3808459707770995,0.029296875
0.006417356628284574,-7.373515625467309,0.037109375
0.006427709097036383,-7.365885225641571,0.044921875
0.0064379133949013555,-7.357943650430143,0.052734375
0.006447971647789156,-7.349686121525158,0.060546875
0.0064578859342843895,-7.341114398511764,0.068359375
0.006467658252308352,-7.332236689579546,0.076171875
0.006477290479331591,-7.323065801742453,0.083984375
0.006486784368329475,-7.313615579475821,0.091796875
0.006496141587161728,-7.303898961469676,0.099609375
0.006505363794141768,-7.293929050467866,0.10742188
0.006514452736149353,-7.283719877440552,0.11523438
0.006523410316525106,-7.2732870615110325,0.12304688
0.0065322385800469646,-7.262650892830608,0.13085938
0.006540939650671207,-7.251838510423817,0.13867188
0.006549515695741316,-7.240881440100226,0.14648438
0.0065579689159138135,-7.229809867101248,0.15429688
0.006566301520326458,-7.218648521605851,0.16210938
0.0065745157024013345,-7.20741867708044,0.16992188
0.006582613650487538,-7.196144175660322,0.17773438
0.006590597564749754,-7.184855892077517,0.18554688
0.0065984696378929945,-7.173591331429462,0.19335938
0.0066062320187991646,-7.162390041232306,0.20117188
0.006613886792794918,-7.151290460299017,0.20898438
0.006621435967779733,-7.140330665591259,0.21679688
0.00662888145651173,-7.129549158879799,0.22460938
0.006636225090444216,-7.118983959318962,0.23242188
0.006643468681719546,-7.108670919615982,0.24023438
0.006650614082810732,-7.098642847138789,0.24804688
0.006657663196487121,-7.088932027384311,0.25585938
0.006664617946647181,-7.079575098065623,0.26367188
0.006671480244029042,-7.0706156676848115,0.27148438
0.006678251965990574,-7.062103328059145,0.27929688
0.006684934949830797,-7.05409109654729,0.28710938
0.006691530994182404,-7.0466320804297755,0.29492188
0.006698041870290564,-7.039776557054421,0.30273438
0.0067044693420862935,-7.033572068827165,0.31054688
0.006710815183498135,-7.028065558244184,0.31835938
0.006717081188893216,-7.023303053260356,0.32617188
0.006723269183836432,-7.019327131471785,0.33398438
0.006729381027795665,-7.01617731438287,0.34179688
0.0067354185887876705,-7.013891546209302,0.34960938
0.0067413836996013665,-7.012503109903313,0.35742188
0.006747278127214117,-7.01203579526271,0.36523438
0.006753103553995785,-7.012500330757039,0.37304688
0.00675886154226853,-7.013888222654088,0.38085938
0.00676455348349865,-7.0161639909364775,0.38867188
0.00677018056315828,-7.019264992790826,0.39648438
