Displacement (mm),Force (N),Time (s)
0.004211039433000567,-5.149994892969372,0.021972656
0.004218182771322458,-5.166314198400177,0.029785156
0.004224992138878649,-5.18188209059183,0.037597656
0.004231469165267946,-5.196626948853735,0.045410156
0.004237615466769389,-5.2104939149795015,0.053222656
0.004243432590685113,-5.223445621536402,0.061035156
0.004248922020968606,-5.235455239008716,0.068847656
0.004254085218019658,-5.246499751451696,0.076660156
0.004258923665917533,-5.256560812352796,0.084472656
0.004263438919673999,-5.265630526873275,0.092285156
0.004267632637994244,-5.273715661787534,0.10009766
0.004271506568006927,-5.280838858726254,0.10791016
0.004275062487445352,-5.287037929197115,0.11572266
0.00427830216562647,-5.292362518513341,0.12353516
0.004281227364448945,-5.296868042776159,0.13134766
0.004283839833178896,-5.3006110064486265,0.13916016
0.004286141272603001,-5.303649648658313,0.14697266
0.00428813329396854,-5.306047422701274,0.15478516
0.004289817397879584,-5.307874292172354,0.16259766
0.004291194986312188,-5.309204654329158,0.17041016
0.004292267423380947,-5.310113010708842,0.17822266
0.0042930361373379146,-5.310668643082548,0.18603516
0.004293502707746672,-5.310931044056436,0.19384766
0.004293668877710203,-5.310948210813295,0.20166016
0.004293536494782903,-5.310759328221718,0.20947266
0.004293107438402091,-5.310399752212512,0.21728516
0.0042923835862359065,-5.309902960404113,0.22509766
0.004291366824780524,-5.309297753963393,0.23291016
0.0042900590629817974,-5.308602693077378,0.24072266
0.004288462226029875,-5.307817677273637,0.24853516
0.004286578251388334,-5.306914092987395,0.25634766
0.0042844090923467824,-5.305827638431017,0.26416016
0.004281956706338105,-5.30445731169243,0.27197266
0.004279223026512677,-5.302673871672438,0.27978516
0.00427620994478496,-5.300334139125292,0.28759766
0.004272919327572159,-5.297292040646919,0.29541016
0.0042693530566627865,-5.293404278863271,0.30322266
0.004265513084848753,-5.28853368489967,0.31103516
0.004261401510814596,-5.282554112914477,0.31884766
0.004257020662931732,-5.275359625558937,0.32666016
0.004252373156016882,-5.26687148533758,0.33447266
0.004247461871039407,-5.257035317173014,0.34228516
0.0042422898248899756,-5.245813495560489,0.35009766
0.004236860000666587,-5.233179875342104,0.35791016
0.004231175263729407,-5.219116502423944,0.36572266
0.004225238378303802,-5.203613059758826,0.37353516
0.004219052068491115,-5.186672331110427,0.38134766
0.0042126191181035035,-5.168318356669627,0.38916016
0.004205942502731986,-5.148601196206029,0.39697266
0.004199025471187027,-5.127597873698239,0.40478516
0.0041918715082694446,-5.105409639198619,0.41259766
0.004184484241475438,-5.0821553045641075,0.42041016
0.00417686738855829,-5.057962825764837,0.42822266
0.004169024739460847,-5.032960826391564,0.43603516
0.004160960127356409,-5.0072737784129995,0.44384766
0.004152677395274612,-4.981024482652814,0.45166016
0.004144180377015956,-4.954338672421089,0.45947266
0.004135472886289524,-4.9273440170928735,0.46728516
0.004126558717291405,-4.90016393477419,0.47509766
0.004117441678960728,-4.872913233583133,0.48291016
0.004108125657428176,-4.845701038635195,0.49072266
0.004098614665273612,-4.81863632474325,0.49853516
0.004088912861515548,-4.791829039272572,0.50634766
0.0040790245685434975,-4.765390820961676,0.51416016
0.004068954292367329,-4.739440652710746,0.52197266
0.004058706714654929,-4.714112928013403,0.52978516
0.004048286642126524,-4.689566349011858,0.53759766
0.004037698945460256,-4.66599223621083,0.54541016
0.004026948554507026,-4.643615709352122,0.55322266
0.004016040549255776,-4.6226883564096415,0.56103516
0.004004980268161929,-4.603479123126763,0.56884766
0.003993773312287769,-4.586267041271247,0.57666016
0.003982425437201618,-4.571332880711131,0.58447266
0.003970942415833452,-4.558946265713961,0.59228516
0.003959329957209356,-4.54934941257629,0.60009766
0.003947593715764386,-4.542742415367586,0.60791016
0.00393573934875687,-4.539274212041962,0.61572266
0.003923772548371552,-4.539040399707077,0.62353516
0.00391169901417258,-4.54208645795833,0.63134766
0.003899524404587765,-4.54841173633501,0.63916016
0.0038872543251334806,-4.557970953040697,0.64697266
0.0038748943464328566,-4.570675838609191,0.65478516
0.003862450018478232,-4.586398191265716,0.66259766
0.0038499268902295576,-4.604971941588541,0.67041016
0.003837330554810432,-4.626196191859465,0.67822266
0.003824666710527799,-4.649844675427599,0.68603516
0.003811941213720107,-4.675679940713938,0.69384766
0.0037991600793606346,-4.703464382035076,0.70166016
0.0037863293922304345,-4.732965362690717,0.70947266
0.0037734552080066685,-4.76395549303844,0.71728516
0.0037605435463110098,-4.796210842183897,0.72509766
0.0037476004116122246,-4.829512992520408,0.73291016
0.003734631743525707,-4.863653703191719,0.74072266
0.0037216433232151926,-4.898435906580242,0.74853516
0.003708640702490508,-4.933673184528238,0.75634766
0.003695629182784366,-4.969192122976481,0.76416016
0.003682613850667975,-5.004836422619392,0.77197266
0.003669599669768874,-5.040472149268457,0.77978516
0.003656591586482446,-5.075993626048406,0.78759766
0.00364359457938224,-5.111325534383601,0.79541016
0.0036306136244265434,-5.146420058074264,0.80322266
0.0036176535944045154,-5.181254237454833,0.81103516
0.0036047191432904465,-5.215827608081701,0.81884766
0.0035918146354812315,-5.250154732719444,0.82666016
0.0035789441419583107,-5.28425413813223,0.83447266
0.003566111490792797,-5.318140596097855,0.84228516
0.003553320342057797,-5.351823998895927,0.85009766
0.003540574242535431,-5.385312421514976,0.85791016
0.0035278766189541727,-5.418615633635555,0.86572266
0.0035152307140957875,-5.451747012973796,0.87353516
0.00350263953417265,-5.484722516381925,0.88134766
0.0034901058568847687,-5.51755824216514,0.88916016
0.003477632265940956,-5.550268470498305,0.89697266
0.003465221165068249,-5.582863638002715,0.90478516
0.0034528747804445934,-5.615349329898639,0.91259766
0.0034405951794029086,-5.647725792753117,0.92041016
0.003428384292472321,-5.679985471823963,0.92822266
0.0034162439134699154,-5.712110326379594,0.93603516
0.003404175708485118,-5.744071596674198,0.94384766
0.0033921812741558926,-5.775829546282106,0.95166016
0.0033802622024970714,-5.807330295839935,0.95947266
0.003368420086263149,-5.838502270711522,0.96728516
0.003356656479190323,-5.869255449037125,0.97509766
0.0033449728606907664,-5.89948432486824,0.98291016
0.0033333706148430254,-5.929074535723116,0.99072266
0.003321851007572552,-5.957911941500175,0.99853516
0.003310415155105465,-5.985892924818766,1.0063477
0.0032990640082100923,-6.012932734278374,1.0141602
0.003287798383602445,-6.0389681478236845,1.0219727
0.0032766190178564808,-6.0639560082768345,1.0297852
0.0032655265876635185,-6.087869732419344,1.0375977
0.003254521684377034,-6.110691588060091,1.0454102
0.003243604773401533,-6.1324021698698035,1.0532227
0.003232776175093475,-6.152974449162316,1.0610352
0.0032220360797487997,-6.172375381107799,1.0688477
0.0032113845712351216,-6.190570116875475,1.0766602
