Sample,Time,Dice
432_L_77_F,634.5276329517365,0.9797962705655482
433_R_77_F,519.4199404716492,0.9787971613820712
434_L_90_F,441.723774433136,0.9864486890032708
435_R_90_F,455.2478697299957,0.4025200043974553
436_L_90_F,590.9984891414642,0.4597220141936949
437_R_90_F,482.6468420028687,0.9915282899739994
438_L_71_F,457.36167788505554,0.9770365462975994
439_R_71_F,524.8758220672607,0.9858292885076448
440_L_64_M,774.1605093479156,0.9793656290890356
441_R_64_M,546.4939594268799,0.974083561251316
442_R_75_F,602.4116718769073,0.9768469355643356
443_L_73_F,670.8157958984375,0.500042257192197
444_R_92_F,665.41423869133,0.9852679737399764
445_R_93_F,642.2322039604187,0.9876481450885384
446_R_75_F,485.22604608535767,0.9843841697903168
447_L_83_M,493.9414365291596,0.927969968699566
448_L_80_M,609.9835753440857,0.971405587539342
449_L_93_F,609.8000073432922,0.9897509316914166
450_L_77_F,474.6358687877655,0.9744206558891836
451_L_75_F,467.45711040496826,0.986189689336596
452_L_75_F,423.13738203048706,0.9753320908491552
453_R_79_M,438.6519627571106,0.965376063104297
454_L_94_F,445.38686752319336,0.9822166370352124
455_L_97_F,428.88915371894836,0.9842702006482841
456_R_97_F,532.9637544155121,0.9863469748865314
