Step,Frame,Ux,Uy,Uz,Fx,Fy,Fz
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
0.0,1.0,-0.03567132353782654,-0.02958964742720127,0.09769999980926514,0.0,0.0,2142.990234375
0.0,2.0,-0.09846408665180206,-0.07189586013555527,0.19539999961853027,0.0,0.0,3599.822265625
0.0,3.0,-0.1846071034669876,-0.12829995155334473,0.2930999994277954,0.0,0.0,4128.0302734375
0.0,4.0,-0.19601912796497345,-0.13521459698677063,0.30531251430511475,0.0,0.0,4164.365234375
0.0,5.0,-0.2137104719877243,-0.14493368566036224,0.32363125681877136,0.0,0.0,4206.1171875
0.0,6.0,-0.2206164449453354,-0.1482831984758377,0.3305007815361023,0.0,0.0,4217.38916015625
0.0,7.0,-0.2316211313009262,-0.15252642333507538,0.3408050835132599,0.0,0.0,4226.236328125
0.0,8.0,-0.23606546223163605,-0.15375013649463654,0.3446691930294037,0.0,0.0,4225.91943359375
0.0,9.0,-0.24341531097888947,-0.1547018140554428,0.3504653573036194,0.0,0.0,4216.88525390625
0.0,10.0,-0.25675100088119507,-0.15279202163219452,0.3591596186161041,0.0,0.0,4162.45068359375
0.0,11.0,-0.26395663619041443,-0.15081217885017395,0.3635067343711853,0.0,0.0,4118.0634765625
0.0,12.0,-0.270791620016098,-0.1487208753824234,0.3678538501262665,0.0,0.0,4073.009765625
0.0,13.0,-0.2801109254360199,-0.14567922055721283,0.37437453866004944,0.0,0.0,4010.058837890625
0.0,14.0,-0.29213932156562805,-0.14133453369140625,0.3841555714607239,0.0,0.0,3926.139892578125
0.0,15.0,-0.30730077624320984,-0.13495811820030212,0.39882713556289673,0.0,0.0,3807.600830078125
0.0,16.0,-0.31084129214286804,-0.13358856737613678,0.40249502658843994,0.0,0.0,3779.10986328125
0.0,17.0,-0.3143346905708313,-0.13222958147525787,0.40616288781166077,0.0,0.0,3749.48388671875
0.0,18.0,-0.31950661540031433,-0.13021264970302582,0.4116647243499756,0.0,0.0,3701.94775390625
0.0,19.0,-0.32714807987213135,-0.12737038731575012,0.4199174642562866,0.0,0.0,3622.985595703125
0.0,20.0,-0.33850380778312683,-0.12378056347370148,0.43229660391807556,0.0,0.0,3491.6591796875
0.0,21.0,-0.34691113233566284,-0.1215117797255516,0.4415809214115143,0.0,0.0,3397.15234375
0.0,22.0,-0.3531174957752228,-0.11977659910917282,0.4485441744327545,0.0,0.0,3331.464111328125
0.0,23.0,-0.36221227049827576,-0.11694327741861343,0.45898905396461487,0.0,0.0,3239.489990234375
0.0,24.0,-0.3753810524940491,-0.11283161491155624,0.4746564030647278,0.0,0.0,3123.414306640625
0.0,25.0,-0.3802335858345032,-0.11136706173419952,0.48053163290023804,0.0,0.0,3088.815673828125
0.0,26.0,-0.38744601607322693,-0.10934542119503021,0.4893445074558258,0.0,0.0,3042.555419921875
0.0,27.0,-0.39815253019332886,-0.10680711269378662,0.5025638341903687,0.0,0.0,2981.6103515625
0.0,28.0,-0.41415974497795105,-0.10638538748025894,0.522392749786377,0.0,0.0,2897.806640625
0.0,29.0,-0.4296621084213257,-0.10238320380449295,0.54222172498703,0.0,0.0,2840.54541015625
0.0,30.0,-0.44507700204849243,-0.09859270602464676,0.5620506405830383,0.0,0.0,2792.93994140625
0.0,31.0,-0.46845149993896484,-0.09479016810655594,0.5917940735816956,0.0,0.0,2726.822998046875
0.0,32.0,-0.4921019375324249,-0.0927930623292923,0.6215375065803528,0.0,0.0,2664.6533203125
0.0,33.0,-0.5161512494087219,-0.09252797067165375,0.65128093957901,0.0,0.0,2605.98974609375
0.0,34.0,-0.5345185995101929,-0.09491195529699326,0.6735885143280029,0.0,0.0,2563.211669921875
0.0,35.0,-0.5529875159263611,-0.09710279107093811,0.6958960890769958,0.0,0.0,2524.549560546875
0.0,36.0,-0.571541965007782,-0.10098889470100403,0.7182036638259888,0.0,0.0,2486.79443359375
0.0,37.0,-0.5784378051757812,-0.10272791981697083,0.7265689969062805,0.0,0.0,2473.31689453125
0.0,38.0,-0.5887579321861267,-0.10626213997602463,0.7391170263290405,0.0,0.0,2452.37255859375
0.0,39.0,-0.592597484588623,-0.10785829275846481,0.7438225150108337,0.0,0.0,2444.322509765625
0.0,40.0,-0.598325788974762,-0.11093995720148087,0.750880777835846,0.0,0.0,2431.263671875
0.0,41.0,-0.6067176461219788,-0.11842354387044907,0.7614681720733643,0.0,0.0,2406.454345703125
0.0,42.0,-0.6175240278244019,-0.1392206996679306,0.7773492336273193,0.0,0.0,2341.023193359375
0.0,43.0,-0.6303043961524963,-0.15171261131763458,0.7932302951812744,0.0,0.0,2307.81005859375
0.0,44.0,-0.6431304216384888,-0.16218574345111847,0.8091114163398743,0.0,0.0,2284.39208984375
0.0,45.0,-0.6625667214393616,-0.17503103613853455,0.8329330086708069,0.0,0.0,2258.03173828125
0.0,46.0,-0.6924453973770142,-0.18969111144542694,0.8686654567718506,0.0,0.0,2228.3310546875
0.0,47.0,-0.7037327289581299,-0.19407175481319427,0.8820650577545166,0.0,0.0,2219.66650390625
0.0,48.0,-0.7208654880523682,-0.1998092085123062,0.9021645784378052,0.0,0.0,2207.339111328125
0.0,49.0,-0.7273107171058655,-0.20176325738430023,0.9097018837928772,0.0,0.0,2203.0224609375
