Step,Frame,Ux,Uy,Uz,Fx,Fy,Fz
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
0.0,1.0,-0.005733432248234749,0.010894130915403366,0.0783500000834465,0.0,0.0,1306.6046142578125
0.0,2.0,-0.01351018063724041,0.02442742884159088,0.156700000166893,0.0,0.0,2451.46142578125
0.0,3.0,-0.029263420030474663,0.03346095234155655,0.2350499927997589,0.0,0.0,3074.231201171875
0.0,4.0,-0.03446945175528526,0.034992776811122894,0.2546375095844269,0.0,0.0,3158.300048828125
0.0,5.0,-0.04191563278436661,0.03681536018848419,0.27422499656677246,0.0,0.0,3206.999267578125
0.0,6.0,-0.04610949382185936,0.03778117522597313,0.28157031536102295,0.0,0.0,3211.9697265625
0.0,7.0,-0.055381227284669876,0.0394776277244091,0.2925882935523987,0.0,0.0,3198.900146484375
0.0,8.0,-0.07094385474920273,0.04101581498980522,0.303606241941452,0.0,0.0,3151.06689453125
0.0,9.0,-0.09221058338880539,0.04009070619940758,0.31462422013282776,0.0,0.0,3061.9775390625
0.0,10.0,-0.09814612567424774,0.03939789906144142,0.3173786997795105,0.0,0.0,3035.26708984375
0.0,11.0,-0.10420087724924088,0.03854159265756607,0.3201332092285156,0.0,0.0,3007.743896484375
0.0,12.0,-0.11340761184692383,0.03706899285316467,0.3242649435997009,0.0,0.0,2965.8427734375
0.0,13.0,-0.12732748687267303,0.03471902757883072,0.3304625451564789,0.0,0.0,2903.5810546875
0.0,14.0,-0.1479211002588272,0.03125155344605446,0.339758962392807,0.0,0.0,2816.18359375
0.0,15.0,-0.17811162769794464,0.025293048471212387,0.3537035882472992,0.0,0.0,2699.06005859375
0.0,16.0,-0.18532957136631012,0.023213021457195282,0.35718974471092224,0.0,0.0,2672.738525390625
0.0,17.0,-0.19248947501182556,0.0208413265645504,0.3606758713722229,0.0,0.0,2647.0009765625
0.0,18.0,-0.20322132110595703,0.017027366906404495,0.36590510606765747,0.0,0.0,2609.451904296875
0.0,19.0,-0.21978625655174255,0.011729789897799492,0.3737489581108093,0.0,0.0,2555.153076171875
0.0,20.0,-0.24752026796340942,0.006829887628555298,0.3855147361755371,0.0,0.0,2474.99755859375
0.0,21.0,-0.3149339258670807,0.0035506938584148884,0.4031634032726288,0.0,0.0,2284.743896484375
0.0,22.0,-0.329438179731369,0.0038823194336146116,0.4075755476951599,0.0,0.0,2248.281005859375
0.0,23.0,-0.3426513969898224,0.004539838992059231,0.4119877219200134,0.0,0.0,2217.16943359375
0.0,24.0,-0.3607781231403351,0.00581675861030817,0.4186059534549713,0.0,0.0,2177.468017578125
0.0,25.0,-0.3855453133583069,0.007993802428245544,0.4285333454608917,0.0,0.0,2127.7060546875
0.0,26.0,-0.42018571496009827,0.011493752710521221,0.44342437386512756,0.0,0.0,2063.789306640625
0.0,27.0,-0.43255528807640076,0.012672091834247112,0.4490085244178772,0.0,0.0,2042.70849609375
0.0,28.0,-0.45098888874053955,0.014242267236113548,0.45738473534584045,0.0,0.0,2011.77099609375
0.0,29.0,-0.4787435531616211,0.015903223305940628,0.46994906663894653,0.0,0.0,1966.640869140625
0.0,30.0,-0.5198749303817749,0.01639745570719242,0.48879554867744446,0.0,0.0,1903.651123046875
