Step,Frame,Ux,Uy,Uz,Fx,Fy,Fz
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
0.0,1.0,-0.03457782790064812,-0.028349310159683228,0.09769999980926514,0.0,0.0,2252.646484375
0.0,2.0,-0.06261438876390457,-0.04769611358642578,0.1465499997138977,0.0,0.0,3205.55322265625
0.0,3.0,-0.0776907429099083,-0.05688796192407608,0.16486875712871552,0.0,0.0,3464.7587890625
0.0,4.0,-0.10750733315944672,-0.07139597088098526,0.19234687089920044,0.0,0.0,3700.6484375
0.0,5.0,-0.1161661297082901,-0.07490989565849304,0.19921641051769257,0.0,0.0,3731.724609375
0.0,6.0,-0.12486825883388519,-0.07844296097755432,0.2060859352350235,0.0,0.0,3755.43603515625
0.0,7.0,-0.1377316266298294,-0.08370745182037354,0.2163902372121811,0.0,0.0,3777.095458984375
0.0,8.0,-0.15598520636558533,-0.09134378284215927,0.2318466752767563,0.0,0.0,3785.861572265625
0.0,9.0,-0.16036304831504822,-0.09325393289327621,0.23571078479290009,0.0,0.0,3785.72314453125
0.0,10.0,-0.16460508108139038,-0.09510689228773117,0.23957490921020508,0.0,0.0,3783.852294921875
0.0,11.0,-0.17049752175807953,-0.09767012298107147,0.24537107348442078,0.0,0.0,3775.7763671875
0.0,12.0,-0.17632192373275757,-0.10006724298000336,0.2511672377586365,0.0,0.0,3765.3896484375
0.0,13.0,-0.18234632909297943,-0.10251213610172272,0.2569634020328522,0.0,0.0,3757.590087890625
0.0,14.0,-0.18850694596767426,-0.10510963201522827,0.26275956630706787,0.0,0.0,3752.5703125
0.0,15.0,-0.19792349636554718,-0.10920360684394836,0.2714538276195526,0.0,0.0,3747.6171875
0.0,16.0,-0.212290421128273,-0.1156458705663681,0.28449520468711853,0.0,0.0,3741.810546875
0.0,17.0,-0.2340179830789566,-0.12589475512504578,0.3040572702884674,0.0,0.0,3730.713623046875
0.0,18.0,-0.26560595631599426,-0.14229260385036469,0.3334003686904907,0.0,0.0,3701.68798828125
0.0,19.0,-0.2966880798339844,-0.15935146808624268,0.36274343729019165,0.0,0.0,3666.78466796875
0.0,20.0,-0.3270764648914337,-0.17983663082122803,0.39208653569221497,0.0,0.0,3620.349365234375
0.0,21.0,-0.3551773428916931,-0.20315086841583252,0.4214296340942383,0.0,0.0,3574.21923828125
0.0,22.0,-0.38197511434555054,-0.22604824602603912,0.4507727324962616,0.0,0.0,3535.092041015625
0.0,23.0,-0.4084368646144867,-0.24740193784236908,0.4801158308982849,0.0,0.0,3497.77490234375
0.0,24.0,-0.4346301257610321,-0.2674138844013214,0.5094588994979858,0.0,0.0,3458.788818359375
0.0,25.0,-0.44445493817329407,-0.2747083306312561,0.5204625725746155,0.0,0.0,3444.489013671875
0.0,26.0,-0.4592098891735077,-0.28537237644195557,0.5369680523872375,0.0,0.0,3422.856689453125
0.0,27.0,-0.4813501238822937,-0.30110666155815125,0.5617263317108154,0.0,0.0,3390.677490234375
0.0,28.0,-0.5144468545913696,-0.32511162757873535,0.5988636612892151,0.0,0.0,3343.833251953125
0.0,29.0,-0.5268384218215942,-0.3341864347457886,0.6127901673316956,0.0,0.0,3326.85302734375
0.0,30.0,-0.5454621911048889,-0.3478935658931732,0.6336799263954163,0.0,0.0,3301.3115234375
0.0,31.0,-0.5734572410583496,-0.3689219355583191,0.6650145649909973,0.0,0.0,3262.71240234375
0.0,32.0,-0.580443263053894,-0.3742588758468628,0.6728482246398926,0.0,0.0,3253.125732421875
0.0,33.0,-0.5874207019805908,-0.3796806335449219,0.6806818842887878,0.0,0.0,3243.440673828125
0.0,34.0,-0.5900322198867798,-0.38173532485961914,0.6836195588111877,0.0,0.0,3239.763427734375
0.0,35.0,-0.5939455628395081,-0.3848471939563751,0.688025951385498,0.0,0.0,3234.13134765625
0.0,36.0,-0.5998027920722961,-0.3895764946937561,0.6946356296539307,0.0,0.0,3225.52392578125
0.0,37.0,-0.6085549592971802,-0.39680978655815125,0.7045500874519348,0.0,0.0,3212.626220703125
0.0,38.0,-0.6216146349906921,-0.40799611806869507,0.7194218039512634,0.0,0.0,3193.43603515625
0.0,39.0,-0.6412367820739746,-0.42507466673851013,0.7417293787002563,0.0,0.0,3165.20068359375
0.0,40.0,-0.6709546446800232,-0.45078936219215393,0.7751907706260681,0.0,0.0,3124.4033203125
0.0,41.0,-0.7159892916679382,-0.48988065123558044,0.8253827691078186,0.0,0.0,3065.490234375
0.0,42.0,-0.732928991317749,-0.5045638680458069,0.8442047834396362,0.0,0.0,3044.284423828125
0.0,43.0,-0.7584664225578308,-0.5267398953437805,0.8724378347396851,0.0,0.0,3012.95849609375
0.0,44.0,-0.7969831228256226,-0.5597202777862549,0.9147873520851135,0.0,0.0,2965.894287109375
0.0,45.0,-0.855344831943512,-0.6091285943984985,0.9783116579055786,0.0,0.0,2897.179931640625
0.0,46.0,-0.9139500856399536,-0.6589961051940918,1.041835904121399,0.0,0.0,2832.734619140625
0.0,47.0,-0.9728463292121887,-0.7092264294624329,1.1053602695465088,0.0,0.0,2772.64990234375
0.0,48.0,-1.0615959167480469,-0.7858017683029175,1.2006467580795288,0.0,0.0,2689.841064453125
0.0,49.0,-1.0837815999984741,-0.8049371242523193,1.2244683504104614,0.0,0.0,2670.76904296875
0.0,50.0,-1.106003999710083,-0.8241275548934937,1.248289942741394,0.0,0.0,2652.2646484375
0.0,51.0,-1.1143407821655273,-0.8313262462615967,1.2572230100631714,0.0,0.0,2645.49169921875
0.0,52.0,-1.1268566846847534,-0.842144250869751,1.270622730255127,0.0,0.0,2635.4716796875
0.0,53.0,-1.1456555128097534,-0.8584119081497192,1.290722131729126,0.0,0.0,2620.75732421875
0.0,54.0,-1.152707815170288,-0.8645084500312805,1.2982594966888428,0.0,0.0,2615.35546875
0.0,55.0,-1.1632944345474243,-0.8736604452133179,1.3095654249191284,0.0,0.0,2607.349853515625
0.0,56.0,-1.1791930198669434,-0.887398362159729,1.3265243768692017,0.0,0.0,2595.56396484375
0.0,57.0,-1.185157060623169,-0.8925425410270691,1.3328839540481567,0.0,0.0,2591.2294921875
0.0,58.0,-1.1941089630126953,-0.9002578258514404,1.342423439025879,0.0,0.0,2584.80078125
0.0,59.0,-1.2075494527816772,-0.9118264317512512,1.3567324876785278,0.0,0.0,2575.3251953125
0.0,60.0,-1.2277393341064453,-0.9291576743125916,1.378196120262146,0.0,0.0,2561.502685546875
0.0,61.0,-1.235313892364502,-0.935634195804596,1.3862450122833252,0.0,0.0,2556.469970703125
0.0,62.0,-1.246686577796936,-0.9453357458114624,1.3983182907104492,0.0,0.0,2549.045166015625
0.0,63.0,-1.2637678384780884,-0.9598566889762878,1.4164283275604248,0.0,0.0,2538.180908203125
0.0,64.0,-1.270175576210022,-0.9652828574180603,1.4232195615768433,0.0,0.0,2534.21337890625
0.0,65.0,-1.2797939777374268,-0.973411500453949,1.4334063529968262,0.0,0.0,2528.341064453125
0.0,66.0,-1.2942359447479248,-0.9855808019638062,1.4486867189407349,0.0,0.0,2519.70654296875
0.0,67.0,-1.2996524572372437,-0.9901308417320251,1.4544167518615723,0.0,0.0,2516.538818359375
0.0,68.0,-1.3077819347381592,-0.9969480633735657,1.4630119800567627,0.0,0.0,2511.837158203125
0.0,69.0,-1.3199890851974487,-1.007163166999817,1.4759047031402588,0.0,0.0,2504.865478515625
0.0,70.0,-1.323041558265686,-1.009711503982544,1.4791278839111328,0.0,0.0,2503.1474609375
0.0,71.0,-1.3260951042175293,-1.012258529663086,1.4823510646820068,0.0,0.0,2501.4365234375
0.0,72.0,-1.3306777477264404,-1.0160781145095825,1.4871858358383179,0.0,0.0,2498.877197265625
0.0,73.0,-1.3375569581985474,-1.021804690361023,1.4944379329681396,0.0,0.0,2495.056396484375
0.0,74.0,-1.347887396812439,-1.03038489818573,1.5053162574768066,0.0,0.0,2489.378173828125
0.0,75.0,-1.3634076118469238,-1.0432209968566895,1.5216336250305176,0.0,0.0,2481.016357421875
0.0,76.0,-1.3692328929901123,-1.048005223274231,1.5277526378631592,0.0,0.0,2477.982177734375
0.0,77.0,-1.3779799938201904,-1.0551525354385376,1.5369311571121216,0.0,0.0,2473.52392578125
0.0,78.0,-1.380167841911316,-1.056931734085083,1.5392258167266846,0.0,0.0,2472.433837890625
0.0,79.0,-1.38235604763031,-1.0587091445922852,1.541520357131958,0.0,0.0,2471.349853515625
0.0,80.0,-1.3856393098831177,-1.0613722801208496,1.5449622869491577,0.0,0.0,2469.734130859375
0.0,81.0,-1.3868706226348877,-1.0623698234558105,1.5462530851364136,0.0,0.0,2469.13232421875
0.0,82.0,-1.388717770576477,-1.0638656616210938,1.5481891632080078,0.0,0.0,2468.2314453125
0.0,83.0,-1.3914889097213745,-1.0661085844039917,1.551093339920044,0.0,0.0,2466.8837890625
0.0,84.0,-1.395646333694458,-1.0694724321365356,1.5554494857788086,0.0,0.0,2464.866943359375
0.0,85.0,-1.3998043537139893,-1.0728367567062378,1.5598057508468628,0.0,0.0,2462.853515625
0.0,86.0,-1.4039623737335205,-1.076202154159546,1.5641618967056274,0.0,0.0,2460.842041015625
0.0,87.0,-1.4081205129623413,-1.0795694589614868,1.5685181617736816,0.0,0.0,2458.830810546875
