Step,Frame,Ux,Uy,Uz,Fx,Fy,Fz
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
0.0,1.0,-0.033653683960437775,-0.027987899258732796,0.09769999980926514,0.0,0.0,2264.14306640625
0.0,2.0,-0.10611018538475037,-0.0722806453704834,0.19539999961853027,0.0,0.0,3842.943359375
0.0,3.0,-0.13121448457241058,-0.08817023783922195,0.21982499957084656,0.0,0.0,4000.404052734375
0.0,4.0,-0.15685391426086426,-0.10453997552394867,0.24424999952316284,0.0,0.0,4108.755859375
0.0,5.0,-0.19575200974941254,-0.12930138409137726,0.28088751435279846,0.0,0.0,4218.43896484375
0.0,6.0,-0.2551504373550415,-0.1652078628540039,0.3358437418937683,0.0,0.0,4319.11328125
0.0,7.0,-0.3156261742115021,-0.19943596422672272,0.39079999923706055,0.0,0.0,4377.90625
0.0,8.0,-0.3765590488910675,-0.23230436444282532,0.4457562565803528,0.0,0.0,4410.935546875
0.0,9.0,-0.437684029340744,-0.26423144340515137,0.500712513923645,0.0,0.0,4425.90234375
0.0,10.0,-0.4993795156478882,-0.2948530316352844,0.5556687712669373,0.0,0.0,4426.85400390625
0.0,11.0,-0.5618475079536438,-0.32407134771347046,0.6106250286102295,0.0,0.0,4416.0322265625
0.0,12.0,-0.6572685837745667,-0.3645625412464142,0.6930593848228455,0.0,0.0,4378.65283203125
0.0,13.0,-0.7546855807304382,-0.4013121724128723,0.7754937410354614,0.0,0.0,4319.70849609375
0.0,14.0,-0.8546262979507446,-0.4340123236179352,0.8579280972480774,0.0,0.0,4241.91943359375
0.0,15.0,-0.9575254321098328,-0.46234220266342163,0.9403625130653381,0.0,0.0,4149.40966796875
0.0,16.0,-1.063689947128296,-0.48698171973228455,1.022796869277954,0.0,0.0,4048.3994140625
0.0,17.0,-1.17352294921875,-0.5089401006698608,1.1052312850952148,0.0,0.0,3945.073486328125
0.0,18.0,-1.2865242958068848,-0.5291756987571716,1.187665581703186,0.0,0.0,3843.056884765625
0.0,19.0,-1.4019227027893066,-0.5484736561775208,1.2700999975204468,0.0,0.0,3743.990966796875
0.0,20.0,-1.5193703174591064,-0.5670639276504517,1.3525344133377075,0.0,0.0,3649.06103515625
0.0,21.0,-1.6383110284805298,-0.5851306319236755,1.4349687099456787,0.0,0.0,3559.74755859375
0.0,22.0,-1.6680234670639038,-0.58965665102005,1.4555773735046387,0.0,0.0,3538.428466796875
0.0,23.0,-1.6977229118347168,-0.5942518711090088,1.476185917854309,0.0,0.0,3517.696044921875
0.0,24.0,-1.7422584295272827,-0.6012980937957764,1.5070987939834595,0.0,0.0,3487.77783203125
0.0,25.0,-1.758928656578064,-0.6039857268333435,1.5186911821365356,0.0,0.0,3476.916015625
0.0,26.0,-1.7838938236236572,-0.6080954670906067,1.5360796451568604,0.0,0.0,3461.095458984375
0.0,27.0,-1.793235182762146,-0.6096656918525696,1.542600393295288,0.0,0.0,3455.306640625
0.0,28.0,-1.8072326183319092,-0.6120585799217224,1.5523813962936401,0.0,0.0,3446.77880859375
0.0,29.0,-1.8281892538070679,-0.6157447695732117,1.567052960395813,0.0,0.0,3434.351318359375
0.0,30.0,-1.8360263109207153,-0.6171630024909973,1.5725547075271606,0.0,0.0,3429.81640625
0.0,31.0,-1.847764492034912,-0.6193304657936096,1.5808074474334717,0.0,0.0,3423.14013671875
0.0,32.0,-1.8653274774551392,-0.6226882934570312,1.593186616897583,0.0,0.0,3413.431640625
0.0,33.0,-1.8915438652038574,-0.6280356645584106,1.6117552518844604,0.0,0.0,3399.65283203125
0.0,34.0,-1.9013183116912842,-0.6301485896110535,1.6187185049057007,0.0,0.0,3394.761962890625
0.0,35.0,-1.9159220457077026,-0.6334530711174011,1.629163384437561,0.0,0.0,3387.724609375
0.0,36.0,-1.9376634359359741,-0.6387777328491211,1.6448307037353516,0.0,0.0,3377.947021484375
0.0,37.0,-1.943060278892517,-0.6401774883270264,1.6487475633621216,0.0,0.0,3375.666259765625
0.0,38.0,-1.9484398365020752,-0.6416118741035461,1.6526644229888916,0.0,0.0,3373.456787109375
0.0,39.0,-1.9564828872680664,-0.6438170671463013,1.6585396528244019,0.0,0.0,3370.255859375
0.0,40.0,-1.968488097190857,-0.64722740650177,1.667352557182312,0.0,0.0,3365.700439453125
0.0,41.0,-1.9804266691207886,-0.6507269144058228,1.6761654615402222,0.0,0.0,3361.407470703125
0.0,42.0,-1.9923027753829956,-0.6542888283729553,1.6849782466888428,0.0,0.0,3357.35009765625
0.0,43.0,-2.004119634628296,-0.6578906178474426,1.693791151046753,0.0,0.0,3353.50341796875
0.0,44.0,-2.0158793926239014,-0.6615195274353027,1.702604055404663,0.0,0.0,3349.84912109375
0.0,45.0,-2.0275814533233643,-0.6651887893676758,1.7114168405532837,0.0,0.0,3346.392822265625
